#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3620,Icinga,2014-02-12 00:00:20 UTC,2014-02-12 00:02:20 UTC,,2 minutes,0
3621,Icinga,2014-02-12 02:21:55 UTC,2014-02-12 02:26:44 UTC,Support Member,5 minutes,0
3622,Icinga,2014-02-12 05:23:42 UTC,2014-02-12 05:29:47 UTC,Support Member,6 minutes,0
3623,Icinga,2014-02-12 05:26:53 UTC,2014-02-12 05:29:42 UTC,Support Member,3 minutes,0
3624,Icinga,2014-02-12 06:14:54 UTC,2014-02-12 06:19:41 UTC,,5 minutes,0
3625,Icinga,2014-02-12 06:18:21 UTC,2014-02-12 06:19:41 UTC,Support Member,1 minute,0
3626,Icinga,2014-02-12 08:16:33 UTC,2014-02-12 08:26:20 UTC,,10 minutes,0
3627,Icinga,2014-02-12 08:22:13 UTC,2014-02-12 08:27:12 UTC,,5 minutes,0
3628,Icinga,2014-02-12 09:15:01 UTC,2014-02-12 09:34:52 UTC,,20 minutes,0
3629,Icinga,2014-02-12 09:17:21 UTC,2014-02-12 09:34:21 UTC,,17 minutes,0
3630,Icinga,2014-02-12 11:31:16 UTC,2014-02-12 11:45:54 UTC,,15 minutes,0
3631,Icinga,2014-02-12 11:39:07 UTC,2014-02-12 11:47:13 UTC,,8 minutes,0
3632,Icinga,2014-02-12 16:10:32 UTC,2014-02-12 16:25:24 UTC,,15 minutes,0
3633,Icinga,2014-02-12 16:11:33 UTC,2014-02-12 16:46:49 UTC,,35 minutes,0
3634,Icinga,2014-02-12 16:12:35 UTC,2014-02-12 16:23:45 UTC,,11 minutes,0
3635,Icinga,2014-02-12 16:14:25 UTC,2014-02-12 16:46:50 UTC,,32 minutes,0
3636,Icinga,2014-02-12 16:27:05 UTC,2014-02-12 16:37:22 UTC,,10 minutes,0
3637,Icinga,2014-02-12 16:34:49 UTC,2014-02-12 16:37:02 UTC,,2 minutes,0
3638,Icinga,2014-02-12 17:02:10 UTC,2014-02-12 18:23:09 UTC,,about 1 hour,2
3639,Icinga,2014-02-12 17:16:45 UTC,2014-02-12 18:22:11 UTC,,about 1 hour,2
3640,Icinga,2014-02-12 17:20:25 UTC,2014-02-12 18:20:37 UTC,,about 1 hour,2
3641,Icinga,2014-02-12 21:54:07 UTC,2014-02-12 22:01:07 UTC,Support Member,7 minutes,0
3642,Icinga,2014-02-12 23:11:37 UTC,2014-02-12 23:16:29 UTC,Support Member,5 minutes,0
3643,Icinga,2014-02-12 23:15:09 UTC,2014-02-12 23:16:37 UTC,Support Member,1 minute,0
3644,Icinga,2014-02-12 23:15:45 UTC,2014-02-13 00:03:10 UTC,,about 1 hour,1
3645,Icinga,2014-02-12 23:17:32 UTC,2014-02-13 00:02:48 UTC,,about 1 hour,1
3646,Icinga,2014-02-12 23:39:13 UTC,2014-02-13 00:29:28 UTC,,about 1 hour,1
3647,Icinga,2014-02-12 23:40:54 UTC,2014-02-13 00:28:20 UTC,,about 1 hour,1
3648,Icinga,2014-02-12 23:41:14 UTC,2014-02-13 00:35:28 UTC,,about 1 hour,1
