#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3649,Icinga,2014-02-13 00:11:46 UTC,2014-02-13 00:17:23 UTC,Support Member,6 minutes,0
3650,Icinga,2014-02-13 00:15:46 UTC,2014-02-13 00:23:28 UTC,Support Member,8 minutes,0
3651,Icinga,2014-02-13 02:16:53 UTC,2014-02-13 02:30:00 UTC,Support Member,13 minutes,0
3652,Icinga,2014-02-13 04:17:28 UTC,2014-02-13 04:24:59 UTC,Support Member,8 minutes,0
3653,Icinga,2014-02-13 04:19:28 UTC,2014-02-13 04:25:03 UTC,Support Member,6 minutes,0
3654,Icinga,2014-02-13 06:56:25 UTC,2014-02-13 07:46:42 UTC,,about 1 hour,1
3655,Icinga,2014-02-13 07:01:13 UTC,2014-02-13 07:39:13 UTC,,38 minutes,1
3656,Icinga,2014-02-13 07:01:16 UTC,2014-02-13 07:33:54 UTC,,33 minutes,1
3657,Icinga,2014-02-13 07:01:17 UTC,2014-02-13 07:33:56 UTC,,33 minutes,1
3658,Icinga,2014-02-13 07:01:25 UTC,2014-02-13 07:33:57 UTC,,33 minutes,1
3659,Icinga,2014-02-13 07:01:44 UTC,2014-02-13 07:46:09 UTC,,44 minutes,1
3660,Icinga,2014-02-13 07:02:24 UTC,2014-02-13 07:35:12 UTC,,33 minutes,1
3661,Icinga,2014-02-13 07:03:13 UTC,2014-02-13 07:35:17 UTC,,32 minutes,1
3662,Icinga,2014-02-13 07:03:16 UTC,2014-02-13 07:32:57 UTC,,30 minutes,1
3663,Icinga,2014-02-13 07:03:17 UTC,2014-02-13 07:32:52 UTC,,30 minutes,1
3664,Icinga,2014-02-13 07:37:45 UTC,2014-02-13 08:02:33 UTC,,25 minutes,1
3665,Icinga,2014-02-13 07:38:14 UTC,2014-02-13 08:13:06 UTC,,35 minutes,1
3666,Icinga,2014-02-13 07:38:54 UTC,2014-02-13 08:02:06 UTC,,23 minutes,1
3667,Icinga,2014-02-13 07:39:16 UTC,2014-02-13 08:14:25 UTC,,35 minutes,1
3668,Icinga,2014-02-13 07:39:24 UTC,2014-02-13 08:03:12 UTC,,24 minutes,1
3669,Icinga,2014-02-13 07:39:54 UTC,2014-02-13 08:12:06 UTC,,32 minutes,1
3670,Icinga,2014-02-13 07:40:06 UTC,2014-02-13 08:03:17 UTC,,23 minutes,1
3671,Icinga,2014-02-13 07:40:53 UTC,2014-02-13 08:13:06 UTC,,32 minutes,1
3672,Icinga,2014-02-13 07:41:45 UTC,2014-02-13 08:16:32 UTC,,35 minutes,1
3673,Icinga,2014-02-13 07:42:12 UTC,2014-02-13 08:07:06 UTC,,25 minutes,1
3674,Icinga,2014-02-13 08:22:44 UTC,2014-02-13 13:28:24 UTC,Lorenzo Santi,about 5 hours,0
3675,Icinga,2014-02-13 09:15:05 UTC,2014-02-13 09:19:53 UTC,,5 minutes,0
3676,Icinga,2014-02-13 09:16:14 UTC,2014-02-13 09:27:13 UTC,,11 minutes,0
3677,Icinga,2014-02-13 10:47:06 UTC,2014-02-13 13:07:04 UTC,,about 2 hours,0
3678,Icinga,2014-02-13 10:48:04 UTC,2014-02-13 13:08:12 UTC,,about 2 hours,0
3679,Icinga,2014-02-13 14:16:28 UTC,2014-02-13 14:21:18 UTC,,5 minutes,0
3680,Icinga,2014-02-13 15:08:11 UTC,2014-02-13 15:27:33 UTC,,19 minutes,0
3681,Icinga,2014-02-13 15:08:22 UTC,2014-02-13 15:13:21 UTC,,5 minutes,0
3682,Icinga,2014-02-13 15:08:22 UTC,2014-02-13 15:13:09 UTC,,5 minutes,0
3683,Icinga,2014-02-13 15:12:21 UTC,2014-02-13 15:29:06 UTC,,17 minutes,0
3684,Icinga,2014-02-13 15:12:42 UTC,2014-02-13 15:15:43 UTC,,3 minutes,0
3685,Icinga,2014-02-13 15:55:34 UTC,2014-02-13 16:05:26 UTC,,10 minutes,0
3686,Icinga,2014-02-13 15:58:33 UTC,2014-02-13 16:03:44 UTC,,5 minutes,0
3687,Icinga,2014-02-13 16:37:06 UTC,2014-02-13 16:41:52 UTC,,5 minutes,0
3688,Icinga,2014-02-13 16:37:33 UTC,2014-02-13 16:47:51 UTC,,10 minutes,0
