#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3689,Icinga,2014-02-13 16:39:06 UTC,2014-02-13 16:47:28 UTC,,8 minutes,0
3690,Icinga,2014-02-13 16:40:15 UTC,2014-02-13 16:42:25 UTC,,2 minutes,0
3691,Icinga,2014-02-13 16:45:02 UTC,2014-02-13 17:14:37 UTC,,30 minutes,0
3692,Icinga,2014-02-13 16:45:28 UTC,2014-02-13 17:15:04 UTC,,30 minutes,0
3693,Icinga,2014-02-13 16:47:50 UTC,2014-02-13 17:17:24 UTC,,30 minutes,0
3694,Icinga,2014-02-13 16:48:00 UTC,2014-02-13 17:14:33 UTC,,27 minutes,0
3695,Icinga,2014-02-13 16:48:29 UTC,2014-02-13 17:18:06 UTC,,30 minutes,0
3696,Icinga,2014-02-13 16:48:50 UTC,2014-02-13 17:18:24 UTC,,30 minutes,0
3697,Icinga,2014-02-13 16:49:00 UTC,2014-02-13 17:18:32 UTC,,30 minutes,0
3698,Icinga,2014-02-13 16:49:01 UTC,2014-02-13 17:18:37 UTC,,30 minutes,0
3699,Icinga,2014-02-13 16:49:37 UTC,2014-02-13 17:16:14 UTC,,27 minutes,0
3700,Icinga,2014-02-13 17:18:05 UTC,2014-02-13 17:33:21 UTC,,15 minutes,0
3701,Icinga,2014-02-13 17:23:24 UTC,2014-02-13 17:34:11 UTC,Support Member,11 minutes,0
3702,Icinga,2014-02-13 17:38:18 UTC,2014-02-13 17:44:41 UTC,Support Member,6 minutes,0
3703,Icinga,2014-02-13 17:42:40 UTC,2014-02-13 17:44:12 UTC,,2 minutes,0
3704,Icinga,2014-02-13 18:03:33 UTC,2014-02-13 18:10:30 UTC,Support Member,7 minutes,0
3705,Icinga,2014-02-13 20:16:28 UTC,2014-02-13 20:19:33 UTC,Support Member,3 minutes,0
3706,Icinga,2014-02-13 20:18:20 UTC,2014-02-13 20:22:18 UTC,Support Member,4 minutes,0
3707,Icinga,2014-02-13 20:20:00 UTC,2014-02-13 20:22:23 UTC,Support Member,2 minutes,0
3708,Icinga,2014-02-13 23:18:39 UTC,2014-02-13 23:48:05 UTC,,29 minutes,1
3709,Icinga,2014-02-13 23:19:02 UTC,2014-02-13 23:47:45 UTC,,29 minutes,1
3710,Icinga,2014-02-13 23:20:49 UTC,2014-02-13 23:47:16 UTC,,26 minutes,1
3711,Icinga,2014-02-13 23:30:38 UTC,2014-02-13 23:37:47 UTC,Support Member,7 minutes,0
3712,Icinga,2014-02-13 23:34:43 UTC,2014-02-13 23:37:44 UTC,,3 minutes,0
