#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3797,Icinga,2014-02-17 02:32:35 UTC,2014-02-17 02:41:46 UTC,Support Member,9 minutes,0
3798,Icinga,2014-02-17 02:36:13 UTC,2014-02-17 02:41:52 UTC,Support Member,6 minutes,0
3799,Icinga,2014-02-17 02:42:26 UTC,2014-02-17 02:43:51 UTC,Support Member,1 minute,0
3800,Icinga,2014-02-17 06:17:34 UTC,2014-02-17 06:22:26 UTC,,5 minutes,0
3801,Icinga,2014-02-17 06:17:35 UTC,2014-02-17 06:22:22 UTC,Support Member,5 minutes,0
3802,Icinga,2014-02-17 06:18:14 UTC,2014-02-17 06:22:10 UTC,Support Member,4 minutes,0
3803,Icinga,2014-02-17 07:33:38 UTC,2014-02-17 07:40:22 UTC,Support Member,7 minutes,0
3804,Icinga,2014-02-17 08:50:09 UTC,2014-02-17 09:11:30 UTC,,21 minutes,0
3805,Icinga,2014-02-17 09:30:09 UTC,2014-02-17 09:34:54 UTC,,5 minutes,0
3806,Icinga,2014-02-17 09:38:15 UTC,2014-02-17 09:53:14 UTC,,15 minutes,0
3807,Icinga,2014-02-17 09:38:55 UTC,2014-02-17 10:08:42 UTC,,30 minutes,0
3808,Icinga,2014-02-17 10:22:00 UTC,2014-02-17 10:26:51 UTC,,5 minutes,0
3809,Icinga,2014-02-17 11:05:05 UTC,2014-02-17 11:47:15 UTC,,42 minutes,0
3810,Icinga,2014-02-17 11:21:27 UTC,2014-02-17 11:46:23 UTC,,25 minutes,0
3811,Icinga,2014-02-17 11:28:23 UTC,2014-02-17 11:38:28 UTC,,10 minutes,0
3812,Icinga,2014-02-17 11:31:14 UTC,2014-02-17 11:37:22 UTC,,6 minutes,0
3813,Icinga,2014-02-17 11:35:55 UTC,2014-02-17 11:40:54 UTC,,5 minutes,0
3814,Icinga,2014-02-17 12:23:56 UTC,2014-02-17 13:39:11 UTC,Fabio Ranfi,about 1 hour,0
3815,Icinga,2014-02-17 12:28:22 UTC,2014-02-17 13:39:11 UTC,Fabio Ranfi,about 1 hour,0
3816,Icinga,2014-02-17 12:29:16 UTC,2014-02-17 13:39:11 UTC,Fabio Ranfi,about 1 hour,0
3817,Icinga,2014-02-17 16:50:27 UTC,2014-02-17 17:41:47 UTC,Support Member,about 1 hour,1
