#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3760,Icinga,2014-02-15 02:16:37 UTC,2014-02-15 02:19:24 UTC,,3 minutes,0
3761,Icinga,2014-02-15 04:50:45 UTC,2014-02-15 04:55:39 UTC,,5 minutes,0
3762,Icinga,2014-02-15 06:17:37 UTC,2014-02-15 06:24:58 UTC,Support Member,7 minutes,0
3763,Icinga,2014-02-15 06:17:38 UTC,2014-02-15 06:24:55 UTC,Support Member,7 minutes,0
3764,Icinga,2014-02-15 06:19:15 UTC,2014-02-15 06:24:50 UTC,Support Member,6 minutes,0
3765,Icinga,2014-02-15 06:28:24 UTC,2014-02-15 06:32:53 UTC,Support Member,4 minutes,0
3766,Icinga,2014-02-15 06:31:18 UTC,2014-02-15 06:32:57 UTC,Support Member,2 minutes,0
3767,Icinga,2014-02-15 11:01:06 UTC,2014-02-15 11:06:05 UTC,,5 minutes,0
3768,Icinga,2014-02-15 12:58:24 UTC,2014-02-15 13:04:02 UTC,Support Member,6 minutes,0
3769,Icinga,2014-02-15 13:01:16 UTC,2014-02-15 13:04:06 UTC,Support Member,3 minutes,0
3770,Icinga,2014-02-15 13:18:41 UTC,2014-02-15 15:28:04 UTC,,about 2 hours,1
3771,Icinga,2014-02-15 13:19:50 UTC,2014-02-15 15:28:16 UTC,,about 2 hours,1
3772,Icinga,2014-02-15 13:23:01 UTC,2014-02-15 15:30:45 UTC,,about 2 hours,1
3773,Icinga,2014-02-15 19:42:20 UTC,2014-02-15 20:16:44 UTC,,34 minutes,1
3774,Icinga,2014-02-15 19:45:29 UTC,2014-02-15 20:11:55 UTC,,26 minutes,1
3775,Icinga,2014-02-15 19:47:28 UTC,2014-02-15 20:13:05 UTC,,26 minutes,1
3776,Icinga,2014-02-15 23:28:27 UTC,2014-02-15 23:55:36 UTC,Paolo Mangano,27 minutes,1
3777,Icinga,2014-02-15 23:31:13 UTC,2014-02-15 23:49:14 UTC,,18 minutes,1
