#,Service,Opened On,Resolved On,Resolved By,Duration,# Escalations
3713,Icinga,2014-02-14 00:14:02 UTC,2014-02-14 00:22:38 UTC,Support Member,9 minutes,0
3714,Icinga,2014-02-14 00:17:24 UTC,2014-02-14 00:22:37 UTC,,5 minutes,0
3715,Icinga,2014-02-14 02:20:49 UTC,2014-02-14 02:23:50 UTC,,3 minutes,0
3716,Icinga,2014-02-14 05:03:58 UTC,2014-02-14 05:08:57 UTC,,5 minutes,0
3717,Icinga,2014-02-14 06:17:16 UTC,2014-02-14 06:26:38 UTC,Support Member,9 minutes,0
3718,Icinga,2014-02-14 06:22:36 UTC,2014-02-14 06:26:32 UTC,Support Member,4 minutes,0
3719,Icinga,2014-02-14 06:22:37 UTC,2014-02-14 06:26:23 UTC,Support Member,4 minutes,0
3720,Icinga,2014-02-14 08:41:24 UTC,2014-02-14 08:44:17 UTC,,3 minutes,0
3721,Icinga,2014-02-14 08:42:06 UTC,2014-02-14 08:51:57 UTC,,10 minutes,0
3722,Icinga,2014-02-14 09:28:08 UTC,2014-02-14 10:10:06 UTC,,42 minutes,0
3723,Icinga,2014-02-14 10:23:36 UTC,2014-02-14 10:38:38 UTC,,15 minutes,0
3724,Icinga,2014-02-14 10:23:37 UTC,2014-02-14 10:38:39 UTC,,15 minutes,0
3725,Icinga,2014-02-14 10:25:04 UTC,2014-02-14 10:40:07 UTC,,15 minutes,0
3726,Icinga,2014-02-14 10:25:24 UTC,2014-02-14 10:37:24 UTC,,12 minutes,0
3727,Icinga,2014-02-14 10:25:33 UTC,2014-02-14 10:37:32 UTC,,12 minutes,0
3728,Icinga,2014-02-14 10:25:36 UTC,2014-02-14 10:37:36 UTC,,12 minutes,0
3729,Icinga,2014-02-14 10:26:24 UTC,2014-02-14 10:38:23 UTC,,12 minutes,0
3730,Icinga,2014-02-14 10:53:28 UTC,2014-02-14 11:03:19 UTC,,10 minutes,0
3731,Icinga,2014-02-14 10:53:40 UTC,2014-02-14 10:55:49 UTC,,2 minutes,0
3732,Icinga,2014-02-14 10:53:40 UTC,2014-02-14 10:55:50 UTC,,2 minutes,0
3733,Icinga,2014-02-14 10:56:29 UTC,2014-02-14 11:01:28 UTC,,5 minutes,0
3734,Icinga,2014-02-14 10:58:49 UTC,2014-02-14 12:43:25 UTC,,about 2 hours,0
3735,Icinga,2014-02-14 11:12:36 UTC,2014-02-14 13:04:40 UTC,Lorenzo Santi,about 2 hours,0
3736,Icinga,2014-02-14 11:12:37 UTC,2014-02-14 13:04:40 UTC,Lorenzo Santi,about 2 hours,0
3737,Icinga,2014-02-14 11:27:24 UTC,2014-02-14 11:57:49 UTC,,30 minutes,0
3738,Icinga,2014-02-14 11:28:27 UTC,2014-02-14 12:40:48 UTC,,about 1 hour,0
3739,Icinga,2014-02-14 12:00:40 UTC,2014-02-14 12:33:40 UTC,,33 minutes,0
3740,Icinga,2014-02-14 12:02:20 UTC,2014-02-14 12:07:08 UTC,,5 minutes,0
3741,Icinga,2014-02-14 12:04:41 UTC,2014-02-14 12:37:40 UTC,,33 minutes,0
3742,Icinga,2014-02-14 13:20:06 UTC,2014-02-14 13:45:20 UTC,,25 minutes,0
3743,Icinga,2014-02-14 13:21:17 UTC,2014-02-14 13:44:40 UTC,,23 minutes,0
3744,Icinga,2014-02-14 14:23:36 UTC,2014-02-14 14:28:24 UTC,,5 minutes,0
3745,Icinga,2014-02-14 14:25:17 UTC,2014-02-14 14:28:16 UTC,,3 minutes,0
3746,Icinga,2014-02-14 14:48:18 UTC,2014-02-14 15:03:28 UTC,,15 minutes,0
3747,Icinga,2014-02-14 14:50:36 UTC,2014-02-14 15:05:09 UTC,,15 minutes,0
3748,Icinga,2014-02-14 14:50:37 UTC,2014-02-14 14:52:44 UTC,,2 minutes,0
3749,Icinga,2014-02-14 18:10:44 UTC,2014-02-14 18:15:36 UTC,,5 minutes,0
3750,Icinga,2014-02-14 20:12:36 UTC,2014-02-14 21:28:00 UTC,,about 1 hour,1
3751,Icinga,2014-02-14 20:14:45 UTC,2014-02-14 21:33:00 UTC,,about 1 hour,1
3752,Icinga,2014-02-14 20:15:06 UTC,2014-02-14 20:21:12 UTC,Support Member,6 minutes,0
3753,Icinga,2014-02-14 20:17:05 UTC,2014-02-14 21:31:28 UTC,,about 1 hour,1
3754,Icinga,2014-02-14 20:20:06 UTC,2014-02-14 20:21:05 UTC,Support Member,less than a minute,0
3755,Icinga,2014-02-14 21:17:06 UTC,2014-02-14 21:49:01 UTC,,32 minutes,1
3756,Icinga,2014-02-14 21:17:07 UTC,2014-02-14 21:36:59 UTC,,20 minutes,1
3757,Icinga,2014-02-14 21:34:08 UTC,2014-02-14 21:38:35 UTC,,4 minutes,1
3758,Icinga,2014-02-14 21:40:18 UTC,2014-02-14 21:45:29 UTC,,5 minutes,0
3759,Icinga,2014-02-14 21:40:19 UTC,2014-02-14 21:45:39 UTC,,5 minutes,0
